Ardagh
Ardee
Arklow
Armagh
Arran
Athenry
Athlone
Ballaghkeen
Ballinacor North
Ballinacor South
Ballintober North
Ballintober South
Ballyadams
Ballyboy
Ballybrit
Ballycowan
Ballymoe
Ballynahinch
Balrothery
Banagh
Bantry
Bargy
Barretts
Barrymore
Bear
Belfast
Boylagh
Boyle
Brawny
Bunratty Lower
Bunratty Upper
Burren
Burrishoole
Callan
Carbury
Carlow
Carra
Carrickfergus
Carrigallen
Cary
Castleknock
Castlerahan
Castlereagh
Clanawley
Clandonagh
Clane
Clankee
Clankelly
Clanmahon
Clanmaurice
Clanmorris
Clanwilliam
Clare
Clarmallagh
Clogher
Clonderalaw
Clonlisk
Clonlonan
Clonmacnowen
Coleraine
Condons & Clangibbon
Connell
Connello Lower
Connello Upper
Coolavin
Coole
Coolestown
Coolock
Coonagh
Corcomroe
Cork
Corkaguiny
Corkaree
Corran
Coshlea
Coshma
Coshmore And Coshbride
Costello
Courceys
Crannagh
Crannagh And Municipal Borough
Cremorne
Cullenagh
Dartree
Decies Within Drum
Decies Without Drum
Deece
Delvin
Drogheda
Drogheda And Municipal Borough
Drumahaire
Dufferin
Duhallow
Dunboyne
Dunkellin
Dunkerron North
Dunkerron South
Dunmore
East Carbery (E.D.)
East Carbery (W.D.)
East Muskerry
East Omagh
Eglish
Eliogarty
Erris
Farbill
Farney
Fartullagh
Fassadidni
Fermoy
Ferrard
Ferrard And Municipal Boorough
Fore
Forth
Frenchpark
Gallen
Galway
Gamloy
Garrycastle
Gaultiere
Geashill
Glanarought
Glenahiry
Glenquin
Gorey
Gowran
Gowran And Municipal Borough
Granard
Ibane And Barryroe
Ibrickan
Ida
Idrone East
Idrone West
Iffa And Offa East
Iffa And Offa West
Ikeathy & Oughterany
Ikerrin
Imokilly
Inchiquin
Inishowen East
Inishowen West
Iraghticonnor
Islands
Iveragh
Iverk
Keenaght
Kells
Kenry
Kerrycurrihy
Kilconnell
Kilconway
Kilcoursey
Kilcullen
Kilkea And Moone
Kilkenny West
Killian
Kilmacrenan
Kilmaine
Kilmallock
Kilnamanagh Lower
Kilnamanagh Upper
Kiltartan
Kinalea
Kinalmeaky
Kinelarty
Kinnatalloon
Kinsale
Knockninny
Knocktopher
Leitrim
Leyny
Longford
Lordship Of Newry
Loughinsholin
Loughrea
Louth
Lower Antrim
Lower Ards
Lower Belfast
Lower Castlereagh
Lower Duleek
Lower Dundalk
Lower Dungannon
Lower Dunluce
Lower Fews
Lower Glenarm
Lower Iveagh Lower Half
Lower Iveagh Upper Half
Lower Kells
Lower Lecale
Lower Loughtee
Lower Massereene
Lower Moyfenrath
Lower Navan
Lower Orior
Lower Ormond
Lower Philipstown
Lower Slane
Lower Strabane
Lower Talbotstown
Lower Toome
Lune
Lurg
Magheraboy
Magherastephana
Magunihy
Maryborough East
Maryborough West
Middle Dungannon
Middlethird
Mohill
Monaghan
Morgallion
Mourne
Moyacashel
Moyarta
Moyashel And Magheradernon
Moycam
Moycullen
Moydow
Moygoish
Municipal Borough Of Kilkenny
Murrisk
N.E. Liberties Of Coleraine
N.W. Liberties Of Londonderry
Naas
Narragh And Reban East
Narragh And Reban West
Nethercross
Newcastle (Dublin)
Newcastle (Wicklow)
Offaly East
Offaly West
Oneilland East
Oneilland West
Orrery And Kilmore
Owney And Arra
Owneybeg
Portnahinch
Pubblebrien
Raphoe
Rathcline
Rathconrath
Rathdown (Dublin)
Rathdown (Wicklow)
Rathvilly
Ratoath
Rosclogher
Roscommon
Ross
Salt
Scarawalsh
Shanid
Shelburne
Shelmaliere East
Shelmaliere West
Shillelagh
Shillelogher
Shillelogher And Municipal Borough
Shrule
Skreen
Slievardagh
Slievemargy
Smallcounty
St. Mullin'S Lower
St. Mullin'S Upper
Stradbally
Tiaquin
Tinnahinch
Tiranny
Tirawley
Tireragh
Tirerrill
Tirhugh
Tirkeeran
Tirkennedy
Trough
Tughanacmy
Tulla Lower
Tulla Upper
Tullygarvey
Tullyhaw
Tullyhunco
Upper Antrim
Upper Ards
Upper Belfast
Upper Castlereagh
Upper Duleek
Upper Dundalk
Upper Dungannon
Upper Dunluce
Upper Fews
Upper Glenarm
Upper Iveagh Lower Half
Upper Iveagh Upper Half
Upper Kells
Upper Lecale
Upper Loughtee
Upper Massereene
Upper Moyfenrath
Upper Navan
Upper Orior
Upper Ormond
Upper Philipstown
Upper Slane
Upper Strabane
Upper Talbotstown
Upper Toome
Uppercross
Upperthird
Upperwoods
Warrenstown
West Carbery (E.D.)
West Carbery (W.D.)
West Muskerry
West Omagh
