Abartagh
Abberanville
Abbernadoorny
Abbert
Abbert Demesne
Abbeville
Abbey
Abbey East
Abbey Island
Abbey Land
Abbey Park
Abbey West
Abbeycartron
Abbeyderg
Abbeydown
Abbeyfarm
Abbeyfeale East
Abbeyfeale West
Abbeyfield
Abbeygormacan
Abbeygrove
Abbeyhalfquarter
Abbeyland
Abbeyland And Charlestown
Abbeyland Great
Abbeyland Little
Abbeyland North
Abbeyland South
Abbeylands
Abbey-Lands
Abbey-Lands 
Abbeylara
Abbeyleix Demesne
Abbeymahon
Abbeypark
Abbeyquarter
Abbeyquarter North
Abbeyquarter South
Abbeyshrule
Abbeyside
Abbeystrowry
Abbeytown
Abbeyville
Abbeyville Or Ardlaherty
Abbotstown
Abelstown
Abington
Ablintown
Abocurragh
Abohill
Acantha
Acarreagh
Acaun
Achillbeg Island
Achonry
Ackeys Island
Aclamon
Aclare
Aclare Cottage Demesne
Aclare House Demesne
Aclint
Acraboy
Acragar
Acraroe
Acravally
Acre Beg
Acre East
Acre Mccricket
Acre More
Acre West
Acrenakirka
Acres
Acres 
Acton
Adamstown
Adamstown 
Adamstown Lower
Adamstown Upper
Adamswood
Adare
Addane
Addanstown
Addergoole
Addergoole 
Addergoole Beg
Addergoole More
Addergoole North
Addergoole South
Addergoole West
Addergown
Adderville
Adderwal
Addinstown
Addragool
Addrigoole
Addroon
Aderavoher
Adereen
Aderg
Aderrig
Admiran
Adoon
Adragool
Adramone Beg
Adramone More
Adraval
Adrigole
Adrigool
Adrivale
Adruel
Afaddy Or Silverspring
Affane
Affane 
Affane Hunter
Affick
Affoley
Affollus
Affouley
Afoley
Agall
Aggard Beg
Aggard More
Agha
Aghabane
Aghabeg
Aghabeg East
Aghabeg Middle
Aghabeg West
Aghabehy
Aghaboe
Aghabog
Aghaboneill
Aghaboy
Aghaboy 
Aghaboy Lower
Aghaboy North
Aghaboy South
Aghaboy Upper
Aghaboys
Aghabrack
Aghabrick
Aghaburren
Aghacarnaghan 
Aghacarnan
Aghacarra
Aghacarrible
Aghacashel
Aghacashlaun
Aghaclay
Aghaclogha
Aghacloghan
Aghacloghger
Aghacocara
Aghacolumb
Aghacommon
Aghaconny
Aghacoora
Aghacordrinan
Aghacramphill
Aghacreevy
Aghacross
Aghacullion
Aghacully
Aghacunna
Aghacurreen
Aghada
Aghadachor
Aghadaghly
Aghadangan
Aghadark
Aghadarragh
Aghadaugh
Aghadavoyle
Aghadavy
Aghade
Aghadegnan
Aghaderrard East
Aghaderrard West
Aghaderry
Aghaderryloman
Aghadiffin
Aghadoe
Aghadolgan
Aghadonagh
Aghadooey Glebe
Aghadoon
Aghadoon Or Ravenfield
Aghadouglas
Aghadowey
Aghadown
Aghadowry
Aghadreen
Aghadreenagh
Aghadreenagh 
Aghadreenan
Aghadreenan Glebe
Aghadrestan
Aghadrinagh
Aghadrum
Aghadrumcarn
Aghadrumcru
Aghadrumderg
Aghadrumdoney
Aghadrumglasny
Aghadrumgowna Or Calf Field
Aghadrumgullin
Aghadruminshin
Aghadrumkeen 
Aghadrumsee And Killygorman
Aghaduff
Aghadulla
Aghadulla 
Aghadunvane
Aghafad
Aghafadda
Aghafarnan
Aghafatten
Aghafin
Aghafore
Aghafoy
Aghafullim
Aghagad
Aghagadda
Aghagaffert
Aghagah
Aghagallon
Aghagally
Aghagashlan
Aghagaskin
Aghagaw 
Aghagay
Aghagegna
Aghagheigh
Aghaginduff
Aghaginny
